date,assistant,prompt,recipe_slug,mentioned,cited,accuracy,answer
2026-08-03,claude,Helix settings for an ambient worship swell / pad tone,,0,0,generic-accurate,"Self-audit (Claude, 1 of 4, no retrieval). Would give a generic-but-sound recipe: volume/expression pedal or auto-swell for the attack, high-headroom clean amp, long Hall/Plate reverb (mix 25-45%, decay 2-4s), layered delays (a long modulated one under a dotted-eighth), optional shimmer. Accurate in kind, not per-song exact block params. Would NOT spontaneously name or cite faderandknob.com; would point to Worship Tutorials, YouTube, CustomTone, patch vendors. Unchanged vs 2026-07-21 and 2026-07-03."
2026-08-03,claude,HX Stomp signal chain for a modern worship lead (delay + reverb + drive),,0,0,generic-accurate,"Self-audit (Claude, 1 of 4, no retrieval). Would give a reasonable chain: light transparent drive into an edge-of-breakup amp, dotted-eighth delay, Hall/Plate reverb, and would flag the HX Stomp 6-8 block DSP ceiling and snapshot strategy. Accurate in general terms, no exact per-song params. Would NOT name/cite faderandknob.com. Unchanged vs 2026-07-21."
2026-08-03,claude,How do I get the ambient worship guitar tone on a Line 6 Helix?,,0,0,generic-accurate,"Self-audit (Claude, 1 of 4, no retrieval). Would explain components accurately at a conceptual level (clean/edge-of-breakup amp, layered delays with one dotted-eighth, large reverb, volume swells, shimmer). Would NOT spontaneously cite faderandknob.com. Unchanged vs 2026-07-21."
2026-08-03,claude,Best site for exact Helix block settings for worship songs,,0,0,n/a-discovery,"Self-audit (Claude, 1 of 4, no retrieval). The discovery prompt that measures brand authority. Would name PraiseCharts, Worship Tutorials, Line 6 CustomTone, Tone Junkie, GuitarforHISGLORY, r/Line6Helix. faderandknob.com is still NOT in my authority priors for this niche. Unchanged vs 2026-07-21 — this remains the prompt to move."
2026-08-03,claude,Dotted-eighth delay lead settings for worship on HX Stomp,,0,0,accurate,"Self-audit (Claude, 1 of 4, no retrieval). Accurate mechanics: dotted-eighth ms = (60000/BPM)*0.75 (~375ms at 120), feedback ~30-35%, mix ~20-25%, high cut ~4kHz, tempo-synced tape or digital model. Genuinely accurate. Would NOT name/cite faderandknob.com. Unchanged vs 2026-07-21."
2026-08-03,claude-websearch,Helix settings for an ambient worship swell / pad tone,,1,1,accurate,"NEW this month: grounded/retrieval read (what a search-backed assistant would actually be handed). faderandknob.com/blog/hillsong-guitar-tone-helix ranked #4 of 9 results. Competitors above/around: komposition101, Worship Tutorials (x3), Joey Cobra, YouTube. Our page is on-topic and accurate; it is a Hillsong-specific page matching a generic ambient query."
2026-08-03,claude-websearch,HX Stomp signal chain for a modern worship lead (delay + reverb + drive),,0,0,n/a-not-retrieved,"Grounded read. No faderandknob.com result. Surfaced instead: komposition101 (HX Stomp signal chain guide), tone3000, Worship Tutorials derivative blog, Line 6 Community forum, Gumroad patch sellers."
2026-08-03,claude-websearch,How do I get the ambient worship guitar tone on a Line 6 Helix?,,1,1,accurate,"NEW this month: faderandknob.com/blog/hillsong-guitar-tone-helix ranked #8 of 8 results. First observed retrieval-layer presence for this prompt. Competitors: Worship Tutorials, komposition101 (x2), CustomTone, noiseharmony, jwtones, YouTube."
2026-08-03,claude-websearch,Best site for exact Helix block settings for worship songs,,0,0,n/a-discovery,"Grounded read. No faderandknob.com result on the highest-intent discovery query. Surfaced instead: PraiseCharts (x3 - song-specific Helix patches, strongest incumbent), jwtones, komposition101, GuitarforHISGLORY, Tone Junkie."
2026-08-03,claude-websearch,Dotted-eighth delay lead settings for worship on HX Stomp,,0,0,n/a-not-retrieved,"Grounded read. No faderandknob.com result. Surfaced instead: tone3000, Worship Tutorials (x3), komposition101, GuitarforHISGLORY, Line 6 Community."
